Título,Nota,URL,Comentar
KIKO Milano,,https://www.google.com/maps/place/KIKO+Milano/data=!4m2!3m1!1s0x132a540175db065d:0xf6cf7a4a2b2d1cf3,
Gelateria Della Passera,,https://www.google.com/maps/place/Gelateria+Della+Passera/data=!4m2!3m1!1s0x132a51553eaf7fc9:0xe3799fde7fdbad32,
"Via Vincenzo Gioberti, 66",,"https://www.google.com/maps/place/Via+Vincenzo+Gioberti,+66/data=!4m2!3m1!1s0x132a5474a7b58b51:0x37cece0d24456506",
Mercato di Sant’Ambrogio,,https://www.google.com/maps/place/Mercato+di+Sant%E2%80%99Ambrogio/data=!4m2!3m1!1s0x132a54092c49ad61:0xa1899eac435a4f8b,
Vista panoramica di Firenze,,https://www.google.com/maps/place/Vista+panoramica+di+Firenze/data=!4m2!3m1!1s0x132a53f760501b75:0xffdf15c90ca8a9c9,
Porta Romana,,https://www.google.com/maps/place/Porta+Romana/data=!4m2!3m1!1s0x132a5150398ca4ab:0xaaa46d8050a7475b,
St Trinity Bridge,,https://www.google.com/maps/place/St+Trinity+Bridge/data=!4m2!3m1!1s0x132a5404c8afd5d9:0xd598096fc71132e6,
Finestrella,,https://www.google.com/maps/place/Finestrella/data=!4m2!3m1!1s0x477fd4bd617e45e1:0x2929ff96df8e4709,
Osteria dell'Orsa,,https://www.google.com/maps/place/Osteria+dell'Orsa/data=!4m2!3m1!1s0x477fd4bdaccad257:0x686922db2f5606d1,
KOF - King of The Fork,,https://www.google.com/maps/place/KOF+-+King+of+The+Fork/data=!4m2!3m1!1s0x94ce579dc0010163:0x7ac8ce27038db15a,
"São Paulo Tap House - 42 taps, Choperia, Hamburgueria e Churrasco Texano",,"https://www.google.com/maps/place/S%C3%A3o+Paulo+Tap+House+-+42+taps,+Choperia,+Hamburgueria+e+Churrasco+Texano/data=!4m2!3m1!1s0x94ce5797c5e7c4ab:0xfe55287f2f6b20f7",
Mercadão das Flores,,https://www.google.com/maps/place/Mercad%C3%A3o+das+Flores/data=!4m2!3m1!1s0x94cef98ba9a7659d:0x5057da19039ff4aa,
Squella Restaurant,,https://www.google.com/maps/place/Squella+Restaurant/data=!4m2!3m1!1s0x9662c5ab5cedf45b:0x271d8163732b3e39,
Plaza Garibaldi,,https://www.google.com/maps/place/Plaza+Garibaldi/data=!4m2!3m1!1s0x9662c5ab5ba86df7:0x2c6d7eb1499fc53d,
Madera & Carbón,,https://www.google.com/maps/place/Madera+%26+Carb%C3%B3n/data=!4m2!3m1!1s0x9662c5ab3b7c7a57:0xb2d453533d791797,
Beth Bakery,,https://www.google.com/maps/place/Beth+Bakery/data=!4m2!3m1!1s0x94ce59833d9cf2c3:0x1fecfe4a44e07099,
Blés D'or,,https://www.google.com/maps/place/Bl%C3%A9s+D'or/data=!4m2!3m1!1s0x94ce50aa744a653b:0x1a042510ca6de134,
Papelaria Tendmais,,https://www.google.com/maps/place/Papelaria+Tendmais/data=!4m2!3m1!1s0x94b8773e1cef8c09:0x67868c6c549fdcac,
Macy's,,https://www.google.com/maps/place/Macy's/data=!4m2!3m1!1s0x89c259aeadd618df:0xdb28329e297402af,
Brandy Melville - Flagship,,https://www.google.com/maps/place/Brandy+Melville+-+Flagship/data=!4m2!3m1!1s0x89c258eaa344b1f7:0xe9b74fda123c0a2c,
by CHLOE. SoHo,,https://www.google.com/maps/place/by+CHLOE.+SoHo/data=!4m2!3m1!1s0x89c2598f2dd9ecb5:0xeeb9eec4f4c35e5a,
"DŌ, Cookie Dough Confections",,"https://www.google.com/maps/place/D%C5%8C,+Cookie+Dough+Confections/data=!4m2!3m1!1s0x89c2590485a57bab:0xc30a1a20d5c453f4",
The William Vale,,https://www.google.com/maps/place/The+William+Vale/data=!4m2!3m1!1s0x89c25942d18e434f:0xcaae4e81d62d5e0d,
Gallow Green,,https://www.google.com/maps/place/Gallow+Green/data=!4m2!3m1!1s0x89c259b654e5c63d:0xfdeb5c6a1bdca01e,
Oyshio Sushi Bar,,https://www.google.com/maps/place/Oyshio+Sushi+Bar/data=!4m2!3m1!1s0x94cef63e4e4aa6d7:0x2bc698fbebb01ad2,
A Fábrica Gastro Beer,,https://www.google.com/maps/place/A+F%C3%A1brica+Gastro+Beer/data=!4m2!3m1!1s0x94b8772e76e0dfbf:0x600ca895b84005a1,
Cervejaria Micaela Rosa,,https://www.google.com/maps/place/Cervejaria+Micaela+Rosa/data=!4m2!3m1!1s0x94b87728d287c62b:0xf9ae5068ea8586f9,
King Hop Beers Craft,,https://www.google.com/maps/place/King+Hop+Beers+Craft/data=!4m2!3m1!1s0x94b870a375329313:0x908121e4c6d9ed8c,
